Fecha;anio;mes;dia;mes_t
1/01/2018;2018;1;1;enero
2/01/2018;2018;1;2;enero
3/01/2018;2018;1;3;enero
4/01/2018;2018;1;4;enero
5/01/2018;2018;1;5;enero
6/01/2018;2018;1;6;enero
7/01/2018;2018;1;7;enero
8/01/2018;2018;1;8;enero
9/01/2018;2018;1;9;enero
10/01/2018;2018;1;10;enero
11/01/2018;2018;1;11;enero
12/01/2018;2018;1;12;enero
13/01/2018;2018;1;13;enero
14/01/2018;2018;1;14;enero
15/01/2018;2018;1;15;enero
16/01/2018;2018;1;16;enero
17/01/2018;2018;1;17;enero
18/01/2018;2018;1;18;enero
19/01/2018;2018;1;19;enero
20/01/2018;2018;1;20;enero
21/01/2018;2018;1;21;enero
22/01/2018;2018;1;22;enero
23/01/2018;2018;1;23;enero
24/01/2018;2018;1;24;enero
25/01/2018;2018;1;25;enero
26/01/2018;2018;1;26;enero
27/01/2018;2018;1;27;enero
28/01/2018;2018;1;28;enero
29/01/2018;2018;1;29;enero
30/01/2018;2018;1;30;enero
31/01/2018;2018;1;31;enero
1/02/2018;2018;2;1;febrero
2/02/2018;2018;2;2;febrero
3/02/2018;2018;2;3;febrero
4/02/2018;2018;2;4;febrero
5/02/2018;2018;2;5;febrero
6/02/2018;2018;2;6;febrero
7/02/2018;2018;2;7;febrero
8/02/2018;2018;2;8;febrero
9/02/2018;2018;2;9;febrero
10/02/2018;2018;2;10;febrero
11/02/2018;2018;2;11;febrero
12/02/2018;2018;2;12;febrero
13/02/2018;2018;2;13;febrero
14/02/2018;2018;2;14;febrero
15/02/2018;2018;2;15;febrero
16/02/2018;2018;2;16;febrero
17/02/2018;2018;2;17;febrero
18/02/2018;2018;2;18;febrero
19/02/2018;2018;2;19;febrero
20/02/2018;2018;2;20;febrero
21/02/2018;2018;2;21;febrero
22/02/2018;2018;2;22;febrero
23/02/2018;2018;2;23;febrero
24/02/2018;2018;2;24;febrero
25/02/2018;2018;2;25;febrero
26/02/2018;2018;2;26;febrero
27/02/2018;2018;2;27;febrero
28/02/2018;2018;2;28;febrero
1/03/2018;2018;3;1;marzo
2/03/2018;2018;3;2;marzo
3/03/2018;2018;3;3;marzo
4/03/2018;2018;3;4;marzo
5/03/2018;2018;3;5;marzo
6/03/2018;2018;3;6;marzo
7/03/2018;2018;3;7;marzo
8/03/2018;2018;3;8;marzo
9/03/2018;2018;3;9;marzo
10/03/2018;2018;3;10;marzo
11/03/2018;2018;3;11;marzo
12/03/2018;2018;3;12;marzo
13/03/2018;2018;3;13;marzo
14/03/2018;2018;3;14;marzo
15/03/2018;2018;3;15;marzo
16/03/2018;2018;3;16;marzo
17/03/2018;2018;3;17;marzo
18/03/2018;2018;3;18;marzo
19/03/2018;2018;3;19;marzo
20/03/2018;2018;3;20;marzo
21/03/2018;2018;3;21;marzo
22/03/2018;2018;3;22;marzo
23/03/2018;2018;3;23;marzo
24/03/2018;2018;3;24;marzo
25/03/2018;2018;3;25;marzo
26/03/2018;2018;3;26;marzo
27/03/2018;2018;3;27;marzo
28/03/2018;2018;3;28;marzo
29/03/2018;2018;3;29;marzo
30/03/2018;2018;3;30;marzo
31/03/2018;2018;3;31;marzo
1/04/2018;2018;4;1;abril
2/04/2018;2018;4;2;abril
3/04/2018;2018;4;3;abril
4/04/2018;2018;4;4;abril
5/04/2018;2018;4;5;abril
6/04/2018;2018;4;6;abril
7/04/2018;2018;4;7;abril
8/04/2018;2018;4;8;abril
9/04/2018;2018;4;9;abril
10/04/2018;2018;4;10;abril
11/04/2018;2018;4;11;abril
12/04/2018;2018;4;12;abril
13/04/2018;2018;4;13;abril
14/04/2018;2018;4;14;abril
15/04/2018;2018;4;15;abril
16/04/2018;2018;4;16;abril
17/04/2018;2018;4;17;abril
18/04/2018;2018;4;18;abril
19/04/2018;2018;4;19;abril
20/04/2018;2018;4;20;abril
21/04/2018;2018;4;21;abril
22/04/2018;2018;4;22;abril
23/04/2018;2018;4;23;abril
24/04/2018;2018;4;24;abril
25/04/2018;2018;4;25;abril
26/04/2018;2018;4;26;abril
27/04/2018;2018;4;27;abril
28/04/2018;2018;4;28;abril
29/04/2018;2018;4;29;abril
30/04/2018;2018;4;30;abril
1/05/2018;2018;5;1;mayo
2/05/2018;2018;5;2;mayo
3/05/2018;2018;5;3;mayo
4/05/2018;2018;5;4;mayo
5/05/2018;2018;5;5;mayo
6/05/2018;2018;5;6;mayo
7/05/2018;2018;5;7;mayo
8/05/2018;2018;5;8;mayo
9/05/2018;2018;5;9;mayo
10/05/2018;2018;5;10;mayo
11/05/2018;2018;5;11;mayo
12/05/2018;2018;5;12;mayo
13/05/2018;2018;5;13;mayo
14/05/2018;2018;5;14;mayo
15/05/2018;2018;5;15;mayo
16/05/2018;2018;5;16;mayo
17/05/2018;2018;5;17;mayo
18/05/2018;2018;5;18;mayo
19/05/2018;2018;5;19;mayo
20/05/2018;2018;5;20;mayo
21/05/2018;2018;5;21;mayo
22/05/2018;2018;5;22;mayo
23/05/2018;2018;5;23;mayo
24/05/2018;2018;5;24;mayo
25/05/2018;2018;5;25;mayo
26/05/2018;2018;5;26;mayo
27/05/2018;2018;5;27;mayo
28/05/2018;2018;5;28;mayo
29/05/2018;2018;5;29;mayo
30/05/2018;2018;5;30;mayo
31/05/2018;2018;5;31;mayo
1/06/2018;2018;6;1;junio
2/06/2018;2018;6;2;junio
3/06/2018;2018;6;3;junio
4/06/2018;2018;6;4;junio
5/06/2018;2018;6;5;junio
6/06/2018;2018;6;6;junio
7/06/2018;2018;6;7;junio
8/06/2018;2018;6;8;junio
9/06/2018;2018;6;9;junio
10/06/2018;2018;6;10;junio
11/06/2018;2018;6;11;junio
12/06/2018;2018;6;12;junio
13/06/2018;2018;6;13;junio
14/06/2018;2018;6;14;junio
15/06/2018;2018;6;15;junio
16/06/2018;2018;6;16;junio
17/06/2018;2018;6;17;junio
18/06/2018;2018;6;18;junio
19/06/2018;2018;6;19;junio
20/06/2018;2018;6;20;junio
21/06/2018;2018;6;21;junio
22/06/2018;2018;6;22;junio
23/06/2018;2018;6;23;junio
24/06/2018;2018;6;24;junio
25/06/2018;2018;6;25;junio
26/06/2018;2018;6;26;junio
27/06/2018;2018;6;27;junio
28/06/2018;2018;6;28;junio
29/06/2018;2018;6;29;junio
30/06/2018;2018;6;30;junio
1/07/2018;2018;7;1;julio
2/07/2018;2018;7;2;julio
3/07/2018;2018;7;3;julio
4/07/2018;2018;7;4;julio
5/07/2018;2018;7;5;julio
6/07/2018;2018;7;6;julio
7/07/2018;2018;7;7;julio
8/07/2018;2018;7;8;julio
9/07/2018;2018;7;9;julio
10/07/2018;2018;7;10;julio
11/07/2018;2018;7;11;julio
12/07/2018;2018;7;12;julio
13/07/2018;2018;7;13;julio
14/07/2018;2018;7;14;julio
15/07/2018;2018;7;15;julio
16/07/2018;2018;7;16;julio
17/07/2018;2018;7;17;julio
18/07/2018;2018;7;18;julio
19/07/2018;2018;7;19;julio
20/07/2018;2018;7;20;julio
21/07/2018;2018;7;21;julio
22/07/2018;2018;7;22;julio
23/07/2018;2018;7;23;julio
24/07/2018;2018;7;24;julio
25/07/2018;2018;7;25;julio
26/07/2018;2018;7;26;julio
27/07/2018;2018;7;27;julio
28/07/2018;2018;7;28;julio
29/07/2018;2018;7;29;julio
30/07/2018;2018;7;30;julio
31/07/2018;2018;7;31;julio
1/08/2018;2018;8;1;agosto
2/08/2018;2018;8;2;agosto
3/08/2018;2018;8;3;agosto
4/08/2018;2018;8;4;agosto
5/08/2018;2018;8;5;agosto
6/08/2018;2018;8;6;agosto
7/08/2018;2018;8;7;agosto
8/08/2018;2018;8;8;agosto
9/08/2018;2018;8;9;agosto
10/08/2018;2018;8;10;agosto
11/08/2018;2018;8;11;agosto
12/08/2018;2018;8;12;agosto
13/08/2018;2018;8;13;agosto
14/08/2018;2018;8;14;agosto
15/08/2018;2018;8;15;agosto
16/08/2018;2018;8;16;agosto
17/08/2018;2018;8;17;agosto
18/08/2018;2018;8;18;agosto
19/08/2018;2018;8;19;agosto
20/08/2018;2018;8;20;agosto
21/08/2018;2018;8;21;agosto
22/08/2018;2018;8;22;agosto
23/08/2018;2018;8;23;agosto
24/08/2018;2018;8;24;agosto
25/08/2018;2018;8;25;agosto
26/08/2018;2018;8;26;agosto
27/08/2018;2018;8;27;agosto
28/08/2018;2018;8;28;agosto
29/08/2018;2018;8;29;agosto
30/08/2018;2018;8;30;agosto
31/08/2018;2018;8;31;agosto
1/09/2018;2018;9;1;septiembre
2/09/2018;2018;9;2;septiembre
3/09/2018;2018;9;3;septiembre
4/09/2018;2018;9;4;septiembre
5/09/2018;2018;9;5;septiembre
6/09/2018;2018;9;6;septiembre
7/09/2018;2018;9;7;septiembre
8/09/2018;2018;9;8;septiembre
9/09/2018;2018;9;9;septiembre
10/09/2018;2018;9;10;septiembre
11/09/2018;2018;9;11;septiembre
12/09/2018;2018;9;12;septiembre
13/09/2018;2018;9;13;septiembre
14/09/2018;2018;9;14;septiembre
15/09/2018;2018;9;15;septiembre
16/09/2018;2018;9;16;septiembre
17/09/2018;2018;9;17;septiembre
18/09/2018;2018;9;18;septiembre
19/09/2018;2018;9;19;septiembre
20/09/2018;2018;9;20;septiembre
21/09/2018;2018;9;21;septiembre
22/09/2018;2018;9;22;septiembre
23/09/2018;2018;9;23;septiembre
24/09/2018;2018;9;24;septiembre
25/09/2018;2018;9;25;septiembre
26/09/2018;2018;9;26;septiembre
27/09/2018;2018;9;27;septiembre
28/09/2018;2018;9;28;septiembre
29/09/2018;2018;9;29;septiembre
30/09/2018;2018;9;30;septiembre
1/10/2018;2018;10;1;octubre
2/10/2018;2018;10;2;octubre
3/10/2018;2018;10;3;octubre
4/10/2018;2018;10;4;octubre
5/10/2018;2018;10;5;octubre
6/10/2018;2018;10;6;octubre
7/10/2018;2018;10;7;octubre
8/10/2018;2018;10;8;octubre
9/10/2018;2018;10;9;octubre
10/10/2018;2018;10;10;octubre
11/10/2018;2018;10;11;octubre
12/10/2018;2018;10;12;octubre
13/10/2018;2018;10;13;octubre
14/10/2018;2018;10;14;octubre
15/10/2018;2018;10;15;octubre
16/10/2018;2018;10;16;octubre
17/10/2018;2018;10;17;octubre
18/10/2018;2018;10;18;octubre
19/10/2018;2018;10;19;octubre
20/10/2018;2018;10;20;octubre
21/10/2018;2018;10;21;octubre
22/10/2018;2018;10;22;octubre
23/10/2018;2018;10;23;octubre
24/10/2018;2018;10;24;octubre
25/10/2018;2018;10;25;octubre
26/10/2018;2018;10;26;octubre
27/10/2018;2018;10;27;octubre
28/10/2018;2018;10;28;octubre
29/10/2018;2018;10;29;octubre
30/10/2018;2018;10;30;octubre
31/10/2018;2018;10;31;octubre
1/11/2018;2018;11;1;noviembre
2/11/2018;2018;11;2;noviembre
3/11/2018;2018;11;3;noviembre
4/11/2018;2018;11;4;noviembre
5/11/2018;2018;11;5;noviembre
6/11/2018;2018;11;6;noviembre
7/11/2018;2018;11;7;noviembre
8/11/2018;2018;11;8;noviembre
9/11/2018;2018;11;9;noviembre
10/11/2018;2018;11;10;noviembre
11/11/2018;2018;11;11;noviembre
12/11/2018;2018;11;12;noviembre
13/11/2018;2018;11;13;noviembre
14/11/2018;2018;11;14;noviembre
15/11/2018;2018;11;15;noviembre
16/11/2018;2018;11;16;noviembre
17/11/2018;2018;11;17;noviembre
18/11/2018;2018;11;18;noviembre
19/11/2018;2018;11;19;noviembre
20/11/2018;2018;11;20;noviembre
21/11/2018;2018;11;21;noviembre
22/11/2018;2018;11;22;noviembre
23/11/2018;2018;11;23;noviembre
24/11/2018;2018;11;24;noviembre
25/11/2018;2018;11;25;noviembre
26/11/2018;2018;11;26;noviembre
27/11/2018;2018;11;27;noviembre
28/11/2018;2018;11;28;noviembre
29/11/2018;2018;11;29;noviembre
30/11/2018;2018;11;30;noviembre
1/12/2018;2018;12;1;diciembre
2/12/2018;2018;12;2;diciembre
3/12/2018;2018;12;3;diciembre
4/12/2018;2018;12;4;diciembre
5/12/2018;2018;12;5;diciembre
6/12/2018;2018;12;6;diciembre
7/12/2018;2018;12;7;diciembre
8/12/2018;2018;12;8;diciembre
9/12/2018;2018;12;9;diciembre
10/12/2018;2018;12;10;diciembre
11/12/2018;2018;12;11;diciembre
12/12/2018;2018;12;12;diciembre
13/12/2018;2018;12;13;diciembre
14/12/2018;2018;12;14;diciembre
15/12/2018;2018;12;15;diciembre
16/12/2018;2018;12;16;diciembre
17/12/2018;2018;12;17;diciembre
18/12/2018;2018;12;18;diciembre
19/12/2018;2018;12;19;diciembre
20/12/2018;2018;12;20;diciembre
21/12/2018;2018;12;21;diciembre
22/12/2018;2018;12;22;diciembre
23/12/2018;2018;12;23;diciembre
24/12/2018;2018;12;24;diciembre
25/12/2018;2018;12;25;diciembre
26/12/2018;2018;12;26;diciembre
27/12/2018;2018;12;27;diciembre
28/12/2018;2018;12;28;diciembre
29/12/2018;2018;12;29;diciembre
30/12/2018;2018;12;30;diciembre
31/12/2018;2018;12;31;diciembre
1/01/2019;2019;1;1;enero
2/01/2019;2019;1;2;enero
3/01/2019;2019;1;3;enero
4/01/2019;2019;1;4;enero
5/01/2019;2019;1;5;enero
6/01/2019;2019;1;6;enero
7/01/2019;2019;1;7;enero
8/01/2019;2019;1;8;enero
9/01/2019;2019;1;9;enero
10/01/2019;2019;1;10;enero
11/01/2019;2019;1;11;enero
12/01/2019;2019;1;12;enero
13/01/2019;2019;1;13;enero
14/01/2019;2019;1;14;enero
15/01/2019;2019;1;15;enero
16/01/2019;2019;1;16;enero
17/01/2019;2019;1;17;enero
18/01/2019;2019;1;18;enero
19/01/2019;2019;1;19;enero
20/01/2019;2019;1;20;enero
21/01/2019;2019;1;21;enero
22/01/2019;2019;1;22;enero
23/01/2019;2019;1;23;enero
24/01/2019;2019;1;24;enero
25/01/2019;2019;1;25;enero
26/01/2019;2019;1;26;enero
27/01/2019;2019;1;27;enero
28/01/2019;2019;1;28;enero
29/01/2019;2019;1;29;enero
30/01/2019;2019;1;30;enero
31/01/2019;2019;1;31;enero
1/02/2019;2019;2;1;febrero
2/02/2019;2019;2;2;febrero
3/02/2019;2019;2;3;febrero
4/02/2019;2019;2;4;febrero
5/02/2019;2019;2;5;febrero
6/02/2019;2019;2;6;febrero
7/02/2019;2019;2;7;febrero
8/02/2019;2019;2;8;febrero
9/02/2019;2019;2;9;febrero
10/02/2019;2019;2;10;febrero
11/02/2019;2019;2;11;febrero
12/02/2019;2019;2;12;febrero
13/02/2019;2019;2;13;febrero
14/02/2019;2019;2;14;febrero
15/02/2019;2019;2;15;febrero
16/02/2019;2019;2;16;febrero
17/02/2019;2019;2;17;febrero
18/02/2019;2019;2;18;febrero
19/02/2019;2019;2;19;febrero
20/02/2019;2019;2;20;febrero
21/02/2019;2019;2;21;febrero
22/02/2019;2019;2;22;febrero
23/02/2019;2019;2;23;febrero
24/02/2019;2019;2;24;febrero
25/02/2019;2019;2;25;febrero
26/02/2019;2019;2;26;febrero
27/02/2019;2019;2;27;febrero
28/02/2019;2019;2;28;febrero
1/03/2019;2019;3;1;marzo
2/03/2019;2019;3;2;marzo
3/03/2019;2019;3;3;marzo
4/03/2019;2019;3;4;marzo
5/03/2019;2019;3;5;marzo
6/03/2019;2019;3;6;marzo
7/03/2019;2019;3;7;marzo
8/03/2019;2019;3;8;marzo
9/03/2019;2019;3;9;marzo
10/03/2019;2019;3;10;marzo
11/03/2019;2019;3;11;marzo
12/03/2019;2019;3;12;marzo
13/03/2019;2019;3;13;marzo
14/03/2019;2019;3;14;marzo
15/03/2019;2019;3;15;marzo
16/03/2019;2019;3;16;marzo
17/03/2019;2019;3;17;marzo
18/03/2019;2019;3;18;marzo
19/03/2019;2019;3;19;marzo
20/03/2019;2019;3;20;marzo
21/03/2019;2019;3;21;marzo
22/03/2019;2019;3;22;marzo
23/03/2019;2019;3;23;marzo
24/03/2019;2019;3;24;marzo
25/03/2019;2019;3;25;marzo
26/03/2019;2019;3;26;marzo
27/03/2019;2019;3;27;marzo
28/03/2019;2019;3;28;marzo
29/03/2019;2019;3;29;marzo
30/03/2019;2019;3;30;marzo
31/03/2019;2019;3;31;marzo
1/04/2019;2019;4;1;abril
2/04/2019;2019;4;2;abril
3/04/2019;2019;4;3;abril
4/04/2019;2019;4;4;abril
5/04/2019;2019;4;5;abril
6/04/2019;2019;4;6;abril
7/04/2019;2019;4;7;abril
8/04/2019;2019;4;8;abril
9/04/2019;2019;4;9;abril
10/04/2019;2019;4;10;abril
11/04/2019;2019;4;11;abril
12/04/2019;2019;4;12;abril
13/04/2019;2019;4;13;abril
14/04/2019;2019;4;14;abril
15/04/2019;2019;4;15;abril
16/04/2019;2019;4;16;abril
17/04/2019;2019;4;17;abril
18/04/2019;2019;4;18;abril
19/04/2019;2019;4;19;abril
20/04/2019;2019;4;20;abril
21/04/2019;2019;4;21;abril
22/04/2019;2019;4;22;abril
23/04/2019;2019;4;23;abril
24/04/2019;2019;4;24;abril
25/04/2019;2019;4;25;abril
26/04/2019;2019;4;26;abril
27/04/2019;2019;4;27;abril
28/04/2019;2019;4;28;abril
29/04/2019;2019;4;29;abril
30/04/2019;2019;4;30;abril
1/05/2019;2019;5;1;mayo
2/05/2019;2019;5;2;mayo
3/05/2019;2019;5;3;mayo
4/05/2019;2019;5;4;mayo
5/05/2019;2019;5;5;mayo
6/05/2019;2019;5;6;mayo
7/05/2019;2019;5;7;mayo
8/05/2019;2019;5;8;mayo
9/05/2019;2019;5;9;mayo
10/05/2019;2019;5;10;mayo
11/05/2019;2019;5;11;mayo
12/05/2019;2019;5;12;mayo
13/05/2019;2019;5;13;mayo
14/05/2019;2019;5;14;mayo
15/05/2019;2019;5;15;mayo
16/05/2019;2019;5;16;mayo
17/05/2019;2019;5;17;mayo
18/05/2019;2019;5;18;mayo
19/05/2019;2019;5;19;mayo
20/05/2019;2019;5;20;mayo
21/05/2019;2019;5;21;mayo
22/05/2019;2019;5;22;mayo
23/05/2019;2019;5;23;mayo
24/05/2019;2019;5;24;mayo
25/05/2019;2019;5;25;mayo
26/05/2019;2019;5;26;mayo
27/05/2019;2019;5;27;mayo
28/05/2019;2019;5;28;mayo
29/05/2019;2019;5;29;mayo
30/05/2019;2019;5;30;mayo
31/05/2019;2019;5;31;mayo
1/06/2019;2019;6;1;junio
2/06/2019;2019;6;2;junio
3/06/2019;2019;6;3;junio
4/06/2019;2019;6;4;junio
5/06/2019;2019;6;5;junio
6/06/2019;2019;6;6;junio
7/06/2019;2019;6;7;junio
8/06/2019;2019;6;8;junio
9/06/2019;2019;6;9;junio
10/06/2019;2019;6;10;junio
11/06/2019;2019;6;11;junio
12/06/2019;2019;6;12;junio
13/06/2019;2019;6;13;junio
14/06/2019;2019;6;14;junio
15/06/2019;2019;6;15;junio
16/06/2019;2019;6;16;junio
17/06/2019;2019;6;17;junio
18/06/2019;2019;6;18;junio
19/06/2019;2019;6;19;junio
20/06/2019;2019;6;20;junio
21/06/2019;2019;6;21;junio
22/06/2019;2019;6;22;junio
23/06/2019;2019;6;23;junio
24/06/2019;2019;6;24;junio
25/06/2019;2019;6;25;junio
26/06/2019;2019;6;26;junio
27/06/2019;2019;6;27;junio
28/06/2019;2019;6;28;junio
29/06/2019;2019;6;29;junio
30/06/2019;2019;6;30;junio
1/07/2019;2019;7;1;julio
2/07/2019;2019;7;2;julio
3/07/2019;2019;7;3;julio
4/07/2019;2019;7;4;julio
5/07/2019;2019;7;5;julio
6/07/2019;2019;7;6;julio
7/07/2019;2019;7;7;julio
8/07/2019;2019;7;8;julio
9/07/2019;2019;7;9;julio
10/07/2019;2019;7;10;julio
11/07/2019;2019;7;11;julio
12/07/2019;2019;7;12;julio
13/07/2019;2019;7;13;julio
14/07/2019;2019;7;14;julio
15/07/2019;2019;7;15;julio
16/07/2019;2019;7;16;julio
17/07/2019;2019;7;17;julio
18/07/2019;2019;7;18;julio
19/07/2019;2019;7;19;julio
20/07/2019;2019;7;20;julio
21/07/2019;2019;7;21;julio
22/07/2019;2019;7;22;julio
23/07/2019;2019;7;23;julio
24/07/2019;2019;7;24;julio
25/07/2019;2019;7;25;julio
26/07/2019;2019;7;26;julio
27/07/2019;2019;7;27;julio
28/07/2019;2019;7;28;julio
29/07/2019;2019;7;29;julio
30/07/2019;2019;7;30;julio
31/07/2019;2019;7;31;julio
1/08/2019;2019;8;1;agosto
2/08/2019;2019;8;2;agosto
3/08/2019;2019;8;3;agosto
4/08/2019;2019;8;4;agosto
5/08/2019;2019;8;5;agosto
6/08/2019;2019;8;6;agosto
7/08/2019;2019;8;7;agosto
8/08/2019;2019;8;8;agosto
9/08/2019;2019;8;9;agosto
10/08/2019;2019;8;10;agosto
11/08/2019;2019;8;11;agosto
12/08/2019;2019;8;12;agosto
13/08/2019;2019;8;13;agosto
14/08/2019;2019;8;14;agosto
15/08/2019;2019;8;15;agosto
16/08/2019;2019;8;16;agosto
17/08/2019;2019;8;17;agosto
18/08/2019;2019;8;18;agosto
